date,RECESSION,CPI,FEDFUNDS,INDPRO,PAYEMS,SP500,UNEMPLOY,YC
2/1/1971,n,0.005063302,-0.76,0.007663231,0.001030659,0.039679672,-0.09,2.42
3/1/1971,n,0.005037794,-0.42,-0.001909013,-0.000818793,0.009032954,-0.083,1.82
4/1/1971,n,0.002509412,-0.01,-0.00108175,0.000748234,0.036135039,0.084,1.92
5/1/1971,n,0,0.45,0.005598427,0.002480691,0.035644614,-0.028,1.75
6/1/1971,n,0.00250313,0.47,0.00506149,0.002965922,-0.042446691,0.037,1.79
7/1/1971,n,0.00249688,0.28,0.004184787,9.82E-05,-0.009378378,-0.047,1.54
8/1/1971,n,0.004975135,0.4,-0.002906737,0.000855726,-0.032121302,0.086,0.71
9/1/1971,n,0.004950505,0.26,-0.005820886,0.000812963,0.03545921,0.099,0.45
10/1/1971,n,0.002466092,-0.02,0.016121457,0.003370939,-0.006992003,-0.092,0.67
11/1/1971,n,0.002460026,-0.35,0.007457993,0.000390909,-0.042692187,-0.088,1.02
12/1/1971,n,0.002453989,-0.29,0.004236511,0.002857364,-0.002550262,0.207,1.75
1/1/1972,n,0.002447982,-0.77,0.011477476,0.003640005,0.082666366,-0.007,2.58
2/1/1972,n,0.002442004,-0.63,0.023771634,0.004593574,0.017959091,-0.135,2.74
3/1/1972,n,0.002436055,-0.21,0.009615123,0.002853423,0.024988217,-0.091,2.29
4/1/1972,n,0.002430135,0.53,0.006887338,0.004066163,0.005894174,0.11,1.97
5/1/1972,n,0.004842624,0.34,0.010515199,0.002984137,0.004374755,-0.079,1.78
6/1/1972,n,0,0.1,-0.000518779,0.004187388,0.0171275,-0.037,1.69
7/1/1972,n,0.002412546,0.19,0.002833494,0.003925915,-0.022062094,0.001,1.57
8/1/1972,n,0.00240674,0.09,-0.000437572,-0.000664555,0.002330677,-0.01,1.61
9/1/1972,n,0.002400962,0.26,0.013204822,0.005843777,0.033873589,0.026,1.67
10/1/1972,n,0.002395211,0.06,0.007608646,0.001657626,-0.004872713,-0.09,1.36
11/1/1972,n,0.002389487,0.18,0.013278036,0.005505661,0.009273906,0.026,1.22
12/1/1972,n,0.004761914,0.01,0.011758631,0.003996076,0.044607579,-0.273,1.08
1/1/1973,n,0.00237248,0.27,0.011388672,0.003927029,0.011758869,-0.059,0.6
2/1/1973,n,0.004728141,0.61,0.006483166,0.004626048,-0.017259519,-0.217,0.06
3/1/1973,n,0.002355714,0.64,0.014714302,0.005236408,-0.038211131,0.126,-0.36
4/1/1973,n,0.004694844,0.51,0.000469806,0.003545684,-0.001433719,-0.058,-0.42
5/1/1973,n,0.007001195,0.03,-0.001381773,0.002239115,-0.041655489,0.065,-0.91
6/1/1973,n,0.009259325,0.72,0.006413972,0.00252118,-0.019064413,-0.13,-1.55
7/1/1973,n,0.006888661,0.65,0.000685627,0.003113299,-0.006596219,0.034,-2.97
8/1/1973,n,0.004566218,1.91,0.004125452,0.000338101,0.037278403,-0.058,-3.25
9/1/1973,n,0.006810469,0.1,-0.001665825,0.00330995,-0.037374341,0,-3.88
10/1/1973,n,0,0.28,0.008921623,0.001398565,0.039312943,0.045,-3.3
11/1/1973,n,0.017937701,-0.77,0.006713158,0.004274201,-0.001291981,-0.206,-3.34
12/1/1973,y,0.004434597,0.02,0.005275325,0.00402503,-0.120881395,0.252,-3.05
1/1/1974,y,0.00881063,-0.08,-0.002389614,0.001423524,0.01643367,0.093,-2.65
2/1/1974,y,0.006557401,-0.3,-0.007056161,0.000883873,-0.010096964,0.155,-1.96
3/1/1974,y,0.008676844,-0.68,-0.003109346,0.001969889,-0.003630887,0.087,-1.94
4/1/1974,y,0.010741242,0.38,0.000314364,0.00053657,-0.023555221,-0.097,-2.85
5/1/1974,y,0.010627093,1.16,-0.003461301,0.001097793,-0.039833851,-0.016,-3.79
6/1/1974,y,0.010515344,0.8,0.007852045,0.002128325,-0.034126844,0.087,-4.29
7/1/1974,y,0.006256538,0.62,-0.00108629,0.000699955,-0.014774034,0.222,-5.03
8/1/1974,y,0.010341354,0.99,0.000492172,0.000407021,-0.080983097,0.136,-3.9
9/1/1974,y,0.008196767,-0.91,-0.009754233,-0.000216209,-0.094616886,-0.041,-3.4
10/1/1974,y,0.006103783,-0.67,0.00049245,-0.000114483,-0.127077668,0.415,-2.27
11/1/1974,y,0.012096922,-1.28,-0.003737066,0.000254388,0.15104321,0.086,-1.81
12/1/1974,y,0.013930574,-0.61,-0.033333128,-0.004652802,-0.054646262,0.617,-1.13
1/1/1975,y,0.007874056,-0.92,-0.036047326,-0.007863198,-0.020357348,0.496,0.4
2/1/1975,y,0.009756175,-1.4,-0.013813336,-0.004633911,0.115836442,0.865,1.22
3/1/1975,y,0.007736983,-0.89,-0.02326765,-0.004863476,0.05816097,0.019,2.47
4/1/1975,n,0.007677581,-0.7,-0.010780364,-0.003516407,0.021461934,0.458,2.82
5/1/1975,n,0.005719749,-0.05,0.000788266,-0.002455784,0.046181907,0.232,2.82
6/1/1975,n,0.003795071,-0.27,-0.00229376,0.002142615,0.043156026,0.223,2.41
7/1/1975,n,0.003780723,0.33,0.006561419,-0.001345131,0.043368392,-0.213,2.1
8/1/1975,n,0.001885015,0.55,0.009634194,0.003248726,-0.070051487,-0.093,2.08
9/1/1975,n,0.007504726,0.04,0.010321128,0.004976525,-0.021295607,-0.199,2.24
10/1/1975,n,0.009302393,0.1,0.012284234,0.000971622,-0.035259805,-0.005,2.09
11/1/1975,n,0.003696862,-0.42,0.00441059,0.004031847,0.059817701,-0.026,2.92
12/1/1975,n,0.007352974,-0.6,0.002155061,0.001868256,0.024407657,-0.103,2.56
